Date,Time,Average,Peak
8/09/2015,8:51:28,60.647305,66.204772
8/09/2015,8:51:28,60.417785,60.488413
8/09/2015,8:51:28,53.456424,64.160589
8/09/2015,8:51:28,57.235135,63.3341
8/09/2015,8:51:28,62.876216,62.899647
8/09/2015,8:51:29,57.391608,65.532534
8/09/2015,8:51:29,61.485661,63.029781
8/09/2015,8:51:29,53.066283,56.708157
8/09/2015,8:51:29,62.685773,62.685773
8/09/2015,8:51:29,59.467504,66.28137
8/09/2015,8:51:29,52.978664,58.184898
8/09/2015,8:51:29,54.961012,65.698681
8/09/2015,8:51:29,52.548728,60.346926
8/09/2015,8:51:29,63.512377,63.632937
8/09/2015,8:51:29,56.544603,67.683211
8/09/2015,8:51:30,59.806232,60.73616
8/09/2015,8:51:30,50.943152,54.24276
8/09/2015,8:51:30,53.797869,54.690867
8/09/2015,8:51:30,60.717507,62.368821
8/09/2015,8:51:30,62.223181,62.276752
8/09/2015,8:51:30,48.676605,58.248601
8/09/2015,8:51:30,53.886983,55.49836
8/09/2015,8:51:30,67.353715,68.719757
8/09/2015,8:51:31,59.186241,61.276956
8/09/2015,8:51:31,55.52613,65.218944
8/09/2015,8:51:31,52.306852,52.797376
8/09/2015,8:51:31,60.892822,61.73179
8/09/2015,8:51:31,53.793898,61.268142
8/09/2015,8:51:31,51.810317,56.943447
8/09/2015,8:51:31,56.207899,56.207899
8/09/2015,8:51:31,61.097855,62.146815
8/09/2015,8:51:31,59.150716,61.574928
8/09/2015,8:51:32,49.586996,63.71419
8/09/2015,8:51:32,54.115541,58.027744
8/09/2015,8:51:32,57.600326,57.600326
8/09/2015,8:51:32,57.000228,60.252848
8/09/2015,8:51:32,53.755262,55.256369
8/09/2015,8:51:32,53.352115,57.47518
8/09/2015,8:51:32,50.736698,54.308338
8/09/2015,8:51:32,55.814771,56.049762
8/09/2015,8:51:32,52.816052,65.029549
8/09/2015,8:51:33,58.014419,63.428984
8/09/2015,8:51:33,52.51901,56.395085
8/09/2015,8:51:33,49.859579,54.420538
8/09/2015,8:51:33,58.374624,60.639476
8/09/2015,8:51:33,64.688399,68.409434
8/09/2015,8:51:33,52.839017,56.572858
8/09/2015,8:51:33,56.574513,64.23464
8/09/2015,8:51:33,59.482649,59.612924
8/09/2015,8:51:33,60.680243,61.855155
8/09/2015,8:51:34,57.785378,60.922904
8/09/2015,8:51:34,53.173569,57.423269
8/09/2015,8:51:34,45.689598,48.784055
8/09/2015,8:51:34,59.552546,60.200986
8/09/2015,8:51:34,60.541597,67.413304
8/09/2015,8:51:34,45.603487,66.273834
8/09/2015,8:51:34,45.838393,58.048406
8/09/2015,8:51:34,44.812518,52.096382
8/09/2015,8:51:35,52.737708,53.58386
8/09/2015,8:51:35,51.697092,52.494552
8/09/2015,8:51:35,46.330631,51.303454
8/09/2015,8:51:35,67.256674,68.530834
8/09/2015,8:51:35,51.845687,54.151035
8/09/2015,8:51:35,48.03695,51.601139
8/09/2015,8:51:35,42.332409,47.463529
8/09/2015,8:51:35,50.590648,60.91145
8/09/2015,8:51:35,50.269482,51.357223
8/09/2015,8:51:36,53.076618,55.706097
8/09/2015,8:51:36,51.956545,52.001844
